Time,medNND_px,meanNND_px,Treatment,Population,Sex,Day,Box,Diameter,medianNNDscaled_mm,meanNNDscaled_mm
1065,38.832976,51.138731,0,4,2,1,4,477,7.326976604,9.64881717
1095,50.328918,50.994571,0,4,2,1,4,477,9.496022264,9.62161717
1125,53.941636,44.986231,0,4,2,1,4,477,10.17766717,8.487968113
1155,58.386591,63.307892,0,4,2,1,4,477,11.01633792,11.94488528
1185,55.430225,55.186315,0,4,2,1,4,477,10.45853302,10.41251226
1215,48.21301,52.933776,0,4,2,1,4,477,9.09679434,9.987504906
1245,51.364383,51.75354,0,4,2,1,4,477,9.691393019,9.764818868
1275,59.964496,61.629913,0,4,2,1,4,477,11.31405585,11.62828547
1305,45.690945,56.216687,0,4,2,1,4,477,8.620933019,10.60692208
1335,42.133127,40.229298,0,4,2,1,4,477,7.949646604,7.590433585
1365,53.488316,54.335734,0,4,2,1,4,477,10.09213509,10.25202528
1395,58.306519,63.307171,0,4,2,1,4,477,11.00123,11.94474925
1425,52.29714,57.949534,0,4,2,1,4,477,9.867384906,10.93387434
1455,47.140471,59.493912,0,4,2,1,4,477,8.894428491,11.22526642
1485,55.446065,55.079278,0,4,2,1,4,477,10.4615217,10.3923166
1515,57.192768,54.218859,0,4,2,1,4,477,10.7910883,10.2299734
1545,60.207973,57.306662,0,4,2,1,4,477,11.35999491,10.81257774
1575,49.844375,54.437212,0,4,2,1,4,477,9.404599057,10.27117208
1605,61.784664,63.373742,0,4,2,1,4,477,11.65748377,11.95730981
1635,53.299495,57.853231,0,4,2,1,4,477,10.05650849,10.91570396
1665,62.201057,60.321749,0,4,2,1,4,477,11.73604849,11.38146208
1695,58.137767,63.069884,0,4,2,1,4,477,10.96939,11.89997811
1725,59.363288,66.275753,0,4,2,1,4,477,11.20062038,12.50485906
1755,63.5396,61.323172,0,4,2,1,4,477,11.98860377,11.57040981
1785,54.332311,57.348503,0,4,2,1,4,477,10.25137943,10.82047226
15,30.11456,51.28808,0,4,1,1,4,480,5.64648,9.616515
